step,loss
0,0.902784
100,0.52713
200,0.379206
300,0.286141
400,0.196513
500,0.162809
600,0.145857
700,0.148394
800,0.0982634
900,0.126613
1000,0.0961168
1100,0.0801561
1200,0.116842
1300,0.0948579
1400,0.124057
1500,0.0669483
1600,0.0403455
1700,0.0943475
1800,0.0737684
1900,0.108786
2000,0.0613807
2100,0.0967285
2200,0.0577358
2300,0.034657
2400,0.0564753
2500,0.102301
2600,0.0524208
2700,0.0857348
2800,0.0485246
2900,0.0344336
3000,0.0207403
3100,0.104401
3200,0.0525918
3300,0.0561206
3400,0.0443914
3500,0.0385493
3600,0.0739106
3700,0.0516858
3800,0.0384011
3900,0.0370317
4000,0.0473689
4100,0.0448935
4200,0.0393343
4300,0.03843
4400,0.0467106
4500,0.0478492
4600,0.0540457
4700,0.0591167
4800,0.0522491
4900,0.0985845
5000,0.0373439
5100,0.0294461
5200,0.0457356
5300,0.0481836
5400,0.0447699
5500,0.0292024
5600,0.0383126
5700,0.037464
5800,0.0213679
5900,0.0419108
6000,0.0387077
6100,0.0232455
6200,0.0481263
6300,0.0399979
6400,0.0358485
6500,0.0280385
6600,0.0224837
6700,0.0287873
6800,0.0219916
6900,0.0222192
7000,0.0193749
7100,0.0203768
7200,0.0292954
7300,0.0195142
7400,0.0381822
7500,0.0244637
7600,0.0211721
7700,0.0315033
7800,0.0572264
7900,0.040124
8000,0.0371718
8100,0.0313346
8200,0.0346456
8300,0.0283059
8400,0.0184929
8500,0.0275762
8600,0.0240287
8700,0.0235044
8800,0.0199036
8900,0.0325568
9000,0.0179283
9100,0.037467
9200,0.0298492
9300,0.0198668
9400,0.02216
9500,0.0210893
9600,0.0249222
9700,0.0132652
9800,0.0290146
9900,0.0252915
10000,0.0228157
10100,0.0318153
10200,0.0298524
10300,0.0305595
10400,0.0125117
10500,0.0180912
10600,0.0185217
10700,0.0198049
10800,0.0170092
10900,0.0136106
11000,0.0156742
11100,0.0134728
11200,0.0304276
11300,0.014457
11400,0.0214805
11500,0.0252749
11600,0.0198335
11700,0.0202926
11800,0.0202647
11900,0.0144209
12000,0.0171867
12100,0.0118609
12200,0.0119888
12300,0.0206574
12400,0.0112081
12500,0.0181966
12600,0.0316129
12700,0.0205127
12800,0.0246096
12900,0.0243103
13000,0.0216231
13100,0.0153229
13200,0.0162083
13300,0.020132
13400,0.0169724
13500,0.028654
13600,0.0199979
13700,0.0200709
13800,0.0178409
13900,0.0131683
14000,0.0134698
14100,0.0175628
14200,0.0182959
14300,0.0139174
14400,0.0151297
14500,0.0148585
14600,0.016871
14700,0.0178429
14800,0.0137507
14900,0.0166726
15000,0.019394
15100,0.0274737
15200,0.0231081
15300,0.0113915
15400,0.0159343
15500,0.0100219
15600,0.0102984
15700,0.00919308
15800,0.0108274
15900,0.0131251
16000,0.0149563
16100,0.0123068
16200,0.0106712
16300,0.0181878
16400,0.014063
16500,0.0138782
16600,0.0201457
16700,0.0123525
16800,0.016188
16900,0.0174726
17000,0.0114844
17100,0.017207
17200,0.0111971
17300,0.0111502
17400,0.0110705
17500,0.0121958
17600,0.00990357
17700,0.0138286
17800,0.0115494
17900,0.0111573
18000,0.0109682
18100,0.0136019
18200,0.00949191
18300,0.0166074
18400,0.0180127
18500,0.010197
18600,0.0205006
18700,0.0192295
18800,0.0115741
18900,0.0107625
19000,0.0138548
19100,0.00978019
19200,0.0127359
19300,0.00847555
19400,0.0115921
19500,0.0112069
19600,0.00953351
19700,0.0101748
19800,0.00954418
19900,0.0145896
20000,0.0130795
20100,0.0164347
20200,0.0152577
20300,0.00875452
20400,0.0136725
20500,0.0138288
20600,0.00753723
20700,0.0102503
20800,0.0118833
20900,0.00875072
21000,0.00853145
21100,0.0107065
21200,0.0117676
21300,0.0201068
21400,0.0124327
21500,0.013541
21600,0.0118358
21700,0.0112475
21800,0.0139887
21900,0.0153386
22000,0.0156317
22100,0.0108908
22200,0.00915591
22300,0.00991256
22400,0.0136193
22500,0.00888224
22600,0.00929204
22700,0.0085294
22800,0.00946738
22900,0.00875577
23000,0.00991595
23100,0.00967059
23200,0.00938089
23300,0.00938593
23400,0.00836036
23500,0.0112971
23600,0.00769477
23700,0.0121741
23800,0.00924748
23900,0.0195621
24000,0.0129661
24100,0.00847616
24200,0.0119348
24300,0.0139257
24400,0.00844191
24500,0.0083366
24600,0.0106126
24700,0.00905715
24800,0.0129437
