step,loss
0,0.894115
100,0.217448
200,0.182544
300,0.13997
400,0.162606
500,0.129019
600,0.165632
700,0.125093
800,0.126484
900,0.0997794
1000,0.0903451
1100,0.118046
1200,0.0931207
1300,0.0951858
1400,0.0943095
1500,0.0998904
1600,0.0898061
1700,0.08867
1800,0.0645207
1900,0.079489
2000,0.0607424
2100,0.107729
2200,0.0561469
2300,0.0943727
2400,0.065267
2500,0.0562477
2600,0.0669608
2700,0.0666475
2800,0.0662357
2900,0.0530358
3000,0.0652262
3100,0.0713168
3200,0.0503225
3300,0.0575935
3400,0.0507056
3500,0.0494619
3600,0.0697484
3700,0.0541846
3800,0.0512148
3900,0.0475867
4000,0.052017
4100,0.0490488
4200,0.0526792
4300,0.0435098
4400,0.0394698
4500,0.0375166
4600,0.0353402
4700,0.0359578
4800,0.0455053
4900,0.0369963
5000,0.0404848
5100,0.0332611
5200,0.0314052
5300,0.0346981
5400,0.0567177
5500,0.0497564
5600,0.0270002
5700,0.0345445
5800,0.0296075
5900,0.0489602
6000,0.0251814
6100,0.0221753
6200,0.0334158
6300,0.0330987
6400,0.0218217
6500,0.0225883
6600,0.0366157
6700,0.0390102
6800,0.0229889
6900,0.0259436
7000,0.0232173
7100,0.0268322
7200,0.0373637
7300,0.0217686
7400,0.0272703
7500,0.0309846
7600,0.0265888
7700,0.0200415
7800,0.0276382
7900,0.0210458
8000,0.0246181
8100,0.0282228
8200,0.0457734
8300,0.0295149
8400,0.0243458
8500,0.030396
8600,0.0202113
8700,0.0209426
8800,0.0241182
8900,0.0276614
9000,0.0177008
9100,0.0260969
9200,0.0241321
9300,0.0245415
9400,0.0208604
9500,0.0231465
9600,0.0202924
9700,0.036084
9800,0.0177461
9900,0.019539
10000,0.0157991
10100,0.0174377
10200,0.0187934
10300,0.0144511
10400,0.0187894
10500,0.0239188
10600,0.0206208
10700,0.0156399
10800,0.0143807
10900,0.0179899
11000,0.0320905
11100,0.0224604
11200,0.0195145
11300,0.0219449
11400,0.016515
11500,0.0180739
11600,0.0149551
11700,0.0203383
11800,0.022981
11900,0.0185067
12000,0.0157041
12100,0.0215406
12200,0.025021
12300,0.0175075
12400,0.0263006
12500,0.0168891
12600,0.0158662
12700,0.0196088
12800,0.0253478
